Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
44361873,00000603,false,Rx,0,1,00,00,00,00,00,00,00,00,
44362922,0000068C,false,Rx,0,1,00,00,00,00,00,00,00,00,
44402630,000001D4,false,Rx,0,8,A0,6D,00,00,42,00,50,FB,
44402903,000001F2,false,Rx,0,8,08,64,00,00,00,01,01,06,
44403118,000005A9,false,Rx,0,8,FF,FF,FC,FF,FF,F0,00,00,
44408989,0000054A,false,Rx,0,8,9E,00,70,02,00,00,00,3D,
44410040,0000054B,false,Rx,0,8,00,08,80,00,04,00,00,00,
44411032,0000054C,false,Rx,0,8,FF,FF,00,00,00,F8,FF,00,
44412020,0000054F,false,Rx,0,8,14,00,00,00,07,40,00,1E,
44413009,000001D4,false,Rx,0,8,9C,6D,00,00,82,00,50,83,
44413225,000001F2,false,Rx,0,8,08,64,00,00,00,01,02,07,
44413445,0000050A,false,Rx,0,6,04,00,00,1D,00,20,00,00,
44413540,0000056E,false,Rx,0,1,46,00,00,00,00,00,00,00,
44423110,000001D4,false,Rx,0,8,9F,6D,00,00,C2,00,50,4D,
44423390,000001F2,false,Rx,0,8,08,64,00,00,00,01,03,08,
44433367,000001D4,false,Rx,0,8,9F,6D,00,00,02,00,50,81,
44433639,000001F2,false,Rx,0,8,08,64,00,00,00,01,00,05,
44433852,0000050B,false,Rx,0,6,00,00,00,C0,00,60,00,00,
44437164,0000011A,false,Rx,0,8,00,40,80,55,00,00,01,0D,
44443636,000001D4,false,Rx,0,8,9F,6D,00,00,42,06,50,3E,
44443909,000001F2,false,Rx,0,8,08,64,00,00,00,01,01,06,
44447194,0000011A,false,Rx,0,8,00,40,80,55,40,00,02,C0,
44453924,000001D4,false,Rx,0,8,9F,6D,00,00,82,06,70,B1,
44454143,000001F2,false,Rx,0,8,08,64,00,00,00,02,02,08,
44457288,0000011A,false,Rx,0,8,00,40,80,AA,80,00,03,D6,
44464109,000001D4,false,Rx,0,8,9F,6D,00,00,C2,06,70,76,
44464389,000001F2,false,Rx,0,8,08,64,00,00,00,02,03,09,
44466808,0000011A,false,Rx,0,8,00,40,80,AA,C0,00,00,1B,
44474376,000001D4,false,Rx,0,8,9F,6D,00,00,02,06,70,BA,
44474649,000001F2,false,Rx,0,8,08,64,00,00,00,02,00,06,
44474803,000005B9,false,Rx,0,5,07,FF,07,FF,28,00,00,00,
44477221,0000011A,false,Rx,0,8,00,40,80,55,00,00,01,0D,
44484644,000001D4,false,Rx,0,8,9F,6D,00,00,42,06,70,7D,
44484916,000001F2,false,Rx,0,8,08,64,00,00,00,02,01,07,
44487157,0000011A,false,Rx,0,8,01,40,80,55,40,00,02,C7,
44493157,000001DB,false,Rx,0,8,7F,E0,FF,C6,00,00,00,DE,
44493437,000001DC,false,Rx,0,8,FF,FF,FF,FF,1F,FF,FC,6B,
44494956,000001D4,false,Rx,0,8,9F,6D,00,00,82,06,70,B1,
44495238,000001F2,false,Rx,0,8,08,64,00,00,00,02,02,08,
44495392,0000050C,false,Rx,0,6,00,00,00,01,5D,5F,00,00,
44497572,0000011A,false,Rx,0,8,01,40,80,AA,80,00,03,D1,
44502073,0000054A,false,Rx,0,8,10,00,70,02,00,00,00,3D,
44503062,0000054B,false,Rx,0,8,00,08,80,00,04,00,00,00,
44503342,000001DB,false,Rx,0,8,00,20,FF,C6,00,00,01,C0,
44503555,000001DC,false,Rx,0,8,FF,FF,FF,FF,01,08,D1,CC,
44504067,0000054C,false,Rx,0,8,FF,FF,00,00,00,F8,FF,00,
44505118,0000054F,false,Rx,0,8,14,00,00,00,07,80,00,1E,
44505339,000001D4,false,Rx,0,8,9F,6D,00,00,C2,06,70,76,
44505552,000001F2,false,Rx,0,8,08,64,00,00,00,04,03,0B,
44506836,0000011A,false,Rx,0,8,01,40,80,AA,C0,00,00,1C,
44512948,0000056E,false,Rx,0,1,46,00,00,00,00,00,00,00,
44513222,000001DB,false,Rx,0,8,FF,E0,FF,C6,00,00,02,DB,
44513443,000001DC,false,Rx,0,8,FF,FF,FF,FF,04,D8,C6,C7,
44515448,000001D4,false,Rx,0,8,9F,6D,00,00,02,06,70,BA,
44515661,000001F2,false,Rx,0,8,08,64,00,00,00,04,00,08,
44515875,0000050A,false,Rx,0,6,04,20,00,1D,00,20,00,00,
44517526,0000011A,false,Rx,0,8,01,40,80,55,00,00,01,0A,
44521132,00000380,false,Rx,0,8,00,04,10,21,00,00,00,03,
44523194,000001DB,false,Rx,0,8,FF,E0,FF,C6,00,00,03,5E,
44523415,000001DC,false,Rx,0,8,FF,FF,FF,FF,08,C0,C7,88,
44525653,000001D4,false,Rx,0,8,9F,6D,00,00,42,06,70,7D,
44525926,000001F2,false,Rx,0,8,08,64,00,00,00,04,01,09,
44527157,0000011A,false,Rx,0,8,01,40,80,55,40,00,02,C7,
44534660,00000380,false,Rx,0,8,02,04,10,21,00,00,00,16,
44534725,000001DB,false,Rx,0,8,FF,E0,C0,86,00,00,00,5F,
44534788,000001DC,false,Rx,0,8,FF,FF,FF,FF,0C,C4,C0,2C,
44535895,000001D4,false,Rx,0,8,9F,6D,00,00,82,06,70,B1,
44536170,000001F2,false,Rx,0,8,08,64,00,00,00,04,02,0A,
44536392,0000050B,false,Rx,0,6,00,00,00,C0,00,60,00,00,
44537500,0000011A,false,Rx,0,8,01,40,80,AA,80,00,03,D1,
44543194,000001DB,false,Rx,0,8,FF,E0,C0,86,00,00,01,DA,
44543415,000001DC,false,Rx,0,8,FF,FF,FF,FF,01,08,D1,CC,
44546137,000001D4,false,Rx,0,8,A0,6D,00,00,C2,06,70,CB,
44546358,000001F2,false,Rx,0,8,08,64,00,00,00,04,03,0B,
44546807,0000011A,false,Rx,0,8,01,40,80,AA,C0,00,00,1C,
44553188,000001DB,false,Rx,0,8,00,00,C0,86,00,00,02,90,
44553410,000001DC,false,Rx,0,8,FF,FF,FF,FF,04,D8,C6,C7,
44556379,000001D4,false,Rx,0,8,A0,6D,00,00,02,06,70,07,
44556592,000001F2,false,Rx,0,8,08,64,00,00,00,04,00,08,
44557523,0000011A,false,Rx,0,8,01,40,80,55,00,00,01,0A,
44563156,000001DB,false,Rx,0,8,00,00,C0,86,00,00,03,15,
44563378,000001DC,false,Rx,0,8,FF,FF,FF,FF,08,C0,C7,88,
44566630,000001D4,false,Rx,0,8,A0,6D,00,00,42,06,70,C0,
44566844,000001F2,false,Rx,0,8,08,64,00,00,00,04,01,09,
44567118,0000011A,false,Rx,0,8,01,40,80,55,40,00,02,C7,
44573190,000001DB,false,Rx,0,8,00,00,C0,86,00,00,00,1F,
44573411,000001DC,false,Rx,0,8,FF,FF,FF,FF,0C,C4,C0,2C,
44576866,000001D4,false,Rx,0,8,A0,6D,00,00,82,06,70,0C,
44577141,000001F2,false,Rx,0,8,08,64,00,00,00,04,02,0A,
44577479,0000011A,false,Rx,0,8,01,40,80,AA,80,00,03,D1,
