Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4567697,00000603,false,Rx,0,1,00,00,00,00,00,00,00,00,
4568804,0000068C,false,Rx,0,1,00,00,00,00,00,00,00,00,
4608492,000001D4,false,Rx,0,8,A0,6D,00,00,42,00,50,FB,
4608705,000001F2,false,Rx,0,8,08,64,00,00,00,01,01,06,
4608978,000005A9,false,Rx,0,8,FF,FF,FC,FF,FF,F0,00,00,
4614858,0000054A,false,Rx,0,8,9E,00,70,02,00,00,00,3D,
4615907,0000054B,false,Rx,0,8,00,08,80,00,04,00,00,00,
4616897,0000054C,false,Rx,0,8,FF,FF,00,00,00,F8,FF,00,
4617887,0000054F,false,Rx,0,8,14,00,00,00,07,40,00,1E,
4618818,000001D4,false,Rx,0,8,9C,6D,00,00,82,00,50,83,
4619036,000001F2,false,Rx,0,8,08,64,00,00,00,01,02,07,
4619256,0000050A,false,Rx,0,6,04,00,00,1D,00,20,00,00,
4619351,0000056E,false,Rx,0,1,46,00,00,00,00,00,00,00,
4628975,000001D4,false,Rx,0,8,9F,6D,00,00,C2,00,50,4D,
4629191,000001F2,false,Rx,0,8,08,64,00,00,00,01,03,08,
4639180,000001D4,false,Rx,0,8,9F,6D,00,00,02,00,50,81,
4639460,000001F2,false,Rx,0,8,08,64,00,00,00,01,00,05,
4639613,0000050B,false,Rx,0,6,00,00,00,C0,00,60,00,00,
4646682,0000011A,false,Rx,0,8,00,40,80,55,00,00,01,0D,
4649474,000001D4,false,Rx,0,8,9F,6D,00,00,42,06,50,3E,
4649746,000001F2,false,Rx,0,8,08,64,00,00,00,01,01,06,
4656661,0000011A,false,Rx,0,8,00,40,80,55,40,00,02,C0,
4659738,000001D4,false,Rx,0,8,9F,6D,00,00,82,06,70,B1,
4659951,000001F2,false,Rx,0,8,08,64,00,00,00,02,02,08,
4666733,0000011A,false,Rx,0,8,00,40,80,AA,80,00,03,D6,
4669935,000001D4,false,Rx,0,8,9F,6D,00,00,C2,06,70,76,
4670211,000001F2,false,Rx,0,8,08,64,00,00,00,02,03,09,
4676273,0000011A,false,Rx,0,8,00,40,80,AA,C0,00,00,1B,
4680240,000001D4,false,Rx,0,8,9F,6D,00,00,02,06,70,BA,
4680453,000001F2,false,Rx,0,8,08,64,00,00,00,02,00,06,
4680666,000005B9,false,Rx,0,5,07,FF,07,FF,28,00,00,00,
4686731,0000011A,false,Rx,0,8,00,40,80,55,00,00,01,0D,
4690464,000001D4,false,Rx,0,8,9F,6D,00,00,42,06,70,7D,
4690735,000001F2,false,Rx,0,8,08,64,00,00,00,02,01,07,
4696633,0000011A,false,Rx,0,8,01,40,80,55,40,00,02,C7,
4700734,000001D4,false,Rx,0,8,9F,6D,00,00,82,06,70,B1,
4700947,000001F2,false,Rx,0,8,08,64,00,00,00,02,02,08,
4701162,0000050C,false,Rx,0,6,00,00,00,01,5D,5F,00,00,
4701620,000001DB,false,Rx,0,8,7F,E0,FF,C6,00,00,00,DE,
4701833,000001DC,false,Rx,0,8,FF,FF,FF,FF,1F,FF,FC,6B,
4707029,0000011A,false,Rx,0,8,01,40,80,AA,80,00,03,D1,
4707959,0000054A,false,Rx,0,8,10,00,70,02,00,00,00,3D,
4708948,0000054B,false,Rx,0,8,00,08,80,00,04,00,00,00,
4709938,0000054C,false,Rx,0,8,FF,FF,00,00,00,F8,FF,00,
4710929,0000054F,false,Rx,0,8,14,00,00,00,07,80,00,1E,
4711204,000001D4,false,Rx,0,8,9F,6D,00,00,C2,06,70,76,
4711425,000001F2,false,Rx,0,8,08,64,00,00,00,04,03,0B,
4711698,000001DB,false,Rx,0,8,00,20,FF,C6,00,00,01,C0,
4711912,000001DC,false,Rx,0,8,FF,FF,FF,FF,01,08,D1,CC,
4716365,0000011A,false,Rx,0,8,01,40,80,AA,C0,00,00,1C,
4718836,0000056E,false,Rx,0,1,46,00,00,00,00,00,00,00,
4721258,000001D4,false,Rx,0,8,9F,6D,00,00,02,06,70,BA,
4721530,000001F2,false,Rx,0,8,08,64,00,00,00,04,00,08,
4721744,000001DB,false,Rx,0,8,00,00,FF,C6,00,00,02,9B,
4721957,000001DC,false,Rx,0,8,FF,FF,FF,FF,04,D8,C6,C7,
4722171,0000050A,false,Rx,0,6,04,20,00,1D,00,20,00,00,
4727038,0000011A,false,Rx,0,8,01,40,80,55,00,00,01,0A,
4727312,00000380,false,Rx,0,8,00,04,10,21,00,00,00,03,
4731457,000001D4,false,Rx,0,8,9F,6D,00,00,42,06,70,7D,
4731730,000001DB,false,Rx,0,8,00,00,FF,C6,00,00,03,1E,
4731943,000001DC,false,Rx,0,8,FF,FF,FF,FF,08,C0,C7,88,
4732218,000001F2,false,Rx,0,8,08,64,00,00,00,04,01,09,
4736669,0000011A,false,Rx,0,8,01,40,80,55,40,00,02,C7,
4737061,00000380,false,Rx,0,8,02,04,10,21,00,00,00,16,
4741629,000001DB,false,Rx,0,8,00,00,C0,86,00,00,00,1F,
4741842,000001D4,false,Rx,0,8,9F,6D,00,00,82,06,70,B1,
4742115,000001DC,false,Rx,0,8,FF,FF,FF,FF,0C,C4,C0,2C,
4742337,000001F2,false,Rx,0,8,08,64,00,00,00,04,02,0A,
4742551,0000050B,false,Rx,0,6,00,00,00,C0,00,60,00,00,
4747057,0000011A,false,Rx,0,8,01,40,80,AA,80,00,03,D1,
4751622,000001DB,false,Rx,0,8,00,00,C0,86,00,00,01,9A,
4751836,000001DC,false,Rx,0,8,FF,FF,FF,FF,01,08,D1,CC,
4752050,000001D4,false,Rx,0,8,9F,6D,00,00,C2,06,70,76,
4752331,000001F2,false,Rx,0,8,08,64,00,00,00,04,03,0B,
4760482,0000011A,false,Rx,0,8,01,40,80,AA,C0,00,00,1C,
4761589,000001DB,false,Rx,0,8,00,20,C0,86,00,00,02,C1,
4761861,000001DC,false,Rx,0,8,FF,FF,FF,FF,04,D8,C6,C7,
4762193,000001D4,false,Rx,0,8,A0,6D,00,00,02,06,70,07,
4762415,000001F2,false,Rx,0,8,08,64,00,00,00,04,00,08,
4766995,0000011A,false,Rx,0,8,01,40,80,55,00,00,01,0A,
4771581,000001DB,false,Rx,0,8,00,20,C0,86,00,00,03,44,
4771853,000001DC,false,Rx,0,8,FF,FF,FF,FF,08,C0,C7,88,
4772433,000001D4,false,Rx,0,8,A0,6D,00,00,42,06,70,C0,
4772705,000001F2,false,Rx,0,8,08,64,00,00,00,04,01,09,
4776616,0000011A,false,Rx,0,8,01,40,80,55,40,00,02,C7,
4781601,000001DB,false,Rx,0,8,00,20,C0,86,00,00,00,4E,
4781814,000001DC,false,Rx,0,8,FF,FF,FF,FF,0C,C4,C0,2C,
4782688,000001D4,false,Rx,0,8,A0,6D,00,00,82,06,70,0C,
4782902,000001F2,false,Rx,0,8,08,64,00,00,00,04,02,0A,
4787000,0000011A,false,Rx,0,8,01,40,80,AA,80,00,03,D1,
4791805,000001DB,false,Rx,0,8,00,20,C0,86,00,00,01,CB,
4792017,000001DC,false,Rx,0,8,FF,FF,FF,FF,01,08,D1,CC,
4792240,0000055B,false,Rx,0,8,AB,00,AA,00,FF,C0,10,BB,
4792924,000001D4,false,Rx,0,8,A0,6D,00,00,C2,06,70,CB,
4793200,000001F2,false,Rx,0,8,08,64,00,00,00,04,03,0B,
4796286,0000011A,false,Rx,0,8,01,40,80,AA,C0,00,00,1C,
4801569,000001DB,false,Rx,0,8,00,20,C0,A6,00,00,02,8E,
4801842,000001DC,false,Rx,0,8,FF,FF,FF,FF,04,D8,C6,C7,
4803188,000001D4,false,Rx,0,8,A0,6D,00,00,02,06,70,07,
4803469,000001F2,false,Rx,0,8,08,64,00,00,00,04,00,08,
4803682,0000050C,false,Rx,0,6,00,00,00,02,5D,63,00,00,
4806995,0000011A,false,Rx,0,8,01,40,80,55,00,00,01,0A,
4808046,0000054A,false,Rx,0,8,9E,00,70,02,00,00,00,3D,
4809038,0000054B,false,Rx,0,8,00,08,80,00,04,00,00,00,
4810026,0000054C,false,Rx,0,8,FF,FF,00,00,00,F8,FF,00,
4815455,0000054F,false,Rx,0,8,43,00,00,00,07,C0,08,33,
4815519,000001DB,false,Rx,0,8,00,20,C0,A6,00,00,03,0B,
4815582,000001DC,false,Rx,0,8,FF,FF,FF,FF,08,C0,C7,88,
4815645,000001D4,false,Rx,0,8,A0,6D,00,00,42,06,70,C0,
4815709,000001F2,false,Rx,0,8,08,64,00,00,00,04,01,09,
4816581,0000011A,false,Rx,0,8,01,40,80,55,40,00,02,C7,
4817152,00000380,false,Rx,0,8,02,04,10,21,00,00,00,27,
4817374,000005BF,false,Rx,0,8,00,00,00,00,10,00,00,00,
4818953,0000056E,false,Rx,0,1,46,00,00,00,00,00,00,00,
4821616,000001DB,false,Rx,0,8,00,20,C0,A6,00,00,00,01,
4821829,000001DC,false,Rx,0,8,FF,FF,FF,FF,0C,C4,C0,2C,
4823713,000001D4,false,Rx,0,8,A0,6D,00,00,82,06,70,0C,
4823927,000001F2,false,Rx,0,8,08,64,00,00,00,04,02,0A,
4824201,00000284,false,Rx,0,8,00,00,00,00,00,00,01,87,
4824423,0000050A,false,Rx,0,6,04,40,00,1D,00,20,00,00,
4827013,0000011A,false,Rx,0,8,01,40,80,AA,80,00,03,D1,
4831582,000001DB,false,Rx,0,8,00,20,C0,A6,00,00,01,84,
4831855,000001DC,false,Rx,0,8,FF,FF,FF,FF,01,08,D1,CC,
4833916,000001D4,false,Rx,0,8,A0,6D,00,00,C2,06,70,CB,
4834132,000001F2,false,Rx,0,8,08,64,00,00,00,04,03,0B,
4836194,0000011A,false,Rx,0,8,01,40,80,AA,C0,00,00,1C,
4841600,000001DB,false,Rx,0,8,00,20,C0,A6,00,00,02,8E,
4841813,000001DC,false,Rx,0,8,FF,FF,FF,FF,04,D8,C6,C7,
4844173,000001D4,false,Rx,0,8,A0,6D,00,00,02,06,70,07,
4844454,000001F2,false,Rx,0,8,08,64,00,00,00,04,00,08,
4844668,00000284,false,Rx,0,8,00,00,00,00,00,00,02,88,
4844881,0000050B,false,Rx,0,6,00,00,00,C0,00,60,00,00,
4847001,0000011A,false,Rx,0,8,01,40,80,55,00,00,01,0A,
4851569,000001DB,false,Rx,0,8,00,00,C0,A6,00,00,03,5A,
4851841,000001DC,false,Rx,0,8,FF,FF,FF,FF,08,C0,C7,88,
4854385,000001D4,false,Rx,0,8,A0,6D,00,00,42,06,70,C0,
4854658,000001F2,false,Rx,0,8,08,64,00,00,00,04,01,09,
4854930,00000284,false,Rx,0,8,00,00,00,00,00,00,03,89,
4856641,0000011A,false,Rx,0,8,01,40,80,55,40,00,02,C7,
4861576,000001DB,false,Rx,0,8,00,00,C0,A6,00,00,00,50,
4861848,000001DC,false,Rx,0,8,FF,FF,FF,FF,0C,C4,C0,2C,
4864628,000001D4,false,Rx,0,8,A0,6D,00,00,82,06,70,0C,
4864900,000001F2,false,Rx,0,8,08,64,00,00,00,04,02,0A,
4871717,0000011A,false,Rx,0,8,01,40,80,AA,80,00,03,D1,
4871813,000001DB,false,Rx,0,8,00,00,C0,A6,00,00,01,D5,
