Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4877006303,000001F2,false,Rx,0,8,10,64,00,00,00,1E,01,0D,
4877006524,00000284,false,Rx,0,8,00,00,00,00,00,00,4C,D2,
4877008342,000001DA,false,Rx,0,8,C2,64,18,00,00,01,02,A9,
4877008623,0000055A,false,Rx,0,8,00,44,41,00,5F,43,5B,08,
4877014558,0000011A,false,Rx,0,8,11,40,00,AA,80,00,03,BE,
4877015605,000001DB,false,Rx,0,8,FF,A0,C0,6A,00,00,03,77,
4877015817,000001DC,false,Rx,0,8,6E,04,1F,FD,08,C0,C7,C0,
4877016030,000001D4,false,Rx,0,8,F7,07,00,00,87,46,00,70,
4877016304,000001F2,false,Rx,0,8,10,64,00,00,00,1E,02,0E,
4877016526,0000050C,false,Rx,0,6,00,00,00,03,5D,F4,00,00,
4877018343,000001DA,false,Rx,0,8,C2,64,18,00,00,01,03,2C,
4877023807,0000011A,false,Rx,0,8,11,40,00,AA,C0,00,00,73,
4877025572,000001DB,false,Rx,0,8,FF,A0,C0,6A,00,00,00,7D,
4877025844,000001DC,false,Rx,0,8,6E,04,1F,FD,0C,C4,C0,64,
4877026234,000001D4,false,Rx,0,8,F7,07,00,00,C7,46,00,B7,
4877026450,000001F2,false,Rx,0,8,10,64,00,00,00,1E,03,0F,
4877026730,00000284,false,Rx,0,8,00,00,00,00,00,00,4D,D3,
4877026943,000005A9,false,Rx,0,8,7A,17,20,10,83,E0,00,00,
4877028349,000001DA,false,Rx,0,8,C2,64,18,00,00,01,00,26,
4877038775,0000011A,false,Rx,0,8,11,40,00,55,00,00,01,65,
4877038839,000001DB,false,Rx,0,8,FF,A0,C0,6A,00,00,01,F8,
4877038902,000001DC,false,Rx,0,8,6E,04,1F,FD,01,08,D1,84,
4877038966,0000055B,false,Rx,0,8,AC,00,AA,00,E3,40,10,2C,
4877039035,000001D4,false,Rx,0,8,F7,07,00,00,07,46,00,7B,
4877039102,000001F2,false,Rx,0,8,10,64,00,00,00,1E,00,0C,
4877039165,0000050A,false,Rx,0,6,85,72,A0,1D,80,20,00,00,
4877039228,000001DA,false,Rx,0,8,C2,64,18,00,00,01,01,A3,
4877041112,0000056E,false,Rx,0,1,46,00,00,00,00,00,00,00,
4877044260,0000011A,false,Rx,0,8,11,40,00,55,40,00,02,A8,
4877045552,000001DB,false,Rx,0,8,FF,A0,C0,6A,00,00,02,F2,
4877045825,000001DC,false,Rx,0,8,6E,04,1F,FD,04,D8,C6,8F,
4877046579,0000054A,false,Rx,0,8,10,00,70,06,22,00,00,3E,
4877046851,000001D4,false,Rx,0,8,F7,07,00,00,47,46,00,BC,
4877047065,000001F2,false,Rx,0,8,10,64,00,00,00,1E,01,0D,
4877047341,00000284,false,Rx,0,8,00,00,00,00,00,00,4E,D4,
4877047563,0000054B,false,Rx,0,8,00,48,88,12,0C,00,00,00,
4877048368,000001DA,false,Rx,0,8,C2,64,18,00,00,01,02,A9,
4877048591,0000054C,false,Rx,0,8,8F,66,40,00,00,40,7D,00,
4877049580,0000054F,false,Rx,0,8,45,01,00,00,07,80,88,33,
4877054562,0000011A,false,Rx,0,8,11,40,00,AA,80,00,03,BE,
4877055552,000001DB,false,Rx,0,8,FF,A0,C0,6A,00,00,03,77,
4877055825,000001DC,false,Rx,0,8,6E,04,1F,FD,08,C0,C7,C0,
4877056991,000001D4,false,Rx,0,8,F7,07,00,00,87,46,00,70,
4877057204,000001F2,false,Rx,0,8,10,64,00,00,00,1E,02,0E,
4877057420,0000050B,false,Rx,0,6,00,00,06,C0,00,60,00,00,
4295284352,000001DA,false,Rx,0,8,C2,64,18,00,00,01,03,2C,
4295289767,0000011A,false,Rx,0,8,11,40,00,AA,C0,00,00,73,
4295291592,000001DB,false,Rx,0,8,FF,A0,C0,6A,00,00,00,7D,
4295291805,000001DC,false,Rx,0,8,6E,04,1F,FD,0C,C4,C0,64,
4295293208,000001D4,false,Rx,0,8,F7,07,00,00,C7,46,00,B7,
4295293427,000001F2,false,Rx,0,8,10,64,00,00,00,1E,03,0F,
4295293649,00000284,false,Rx,0,8,00,00,00,00,00,00,4F,D5,
4295294336,000001DA,false,Rx,0,8,C2,64,18,00,00,01,00,26,
4295300516,0000011A,false,Rx,0,8,11,40,00,55,00,00,01,65,
4295301565,000001DB,false,Rx,0,8,FF,A0,C0,6A,00,00,01,F8,
4295301837,000001DC,false,Rx,0,8,6E,04,1F,FD,01,08,D1,84,
4295303421,000001D4,false,Rx,0,8,F7,07,00,00,07,46,00,7B,
4295303642,000001F2,false,Rx,0,8,10,64,00,00,00,1E,00,0C,
4295304388,000001DA,false,Rx,0,8,C2,64,18,00,00,01,01,A3,
4295310207,0000011A,false,Rx,0,8,11,40,00,55,40,00,02,A8,
4295311556,000001DB,false,Rx,0,8,FF,A0,C0,6A,00,00,02,F2,
4295311829,000001DC,false,Rx,0,8,6E,04,1F,FD,04,D8,C6,8F,
4295313654,000001D4,false,Rx,0,8,F7,07,00,00,47,46,00,BC,
4295313927,000001F2,false,Rx,0,8,10,64,00,00,00,1E,01,0D,
4295314140,00000284,false,Rx,0,8,00,00,00,00,00,00,50,D6,
4295314414,000001DA,false,Rx,0,8,C2,64,18,00,00,01,02,A9,
4295314635,00000380,false,Rx,0,8,02,04,10,21,00,00,00,9E,
4295323030,000005BF,false,Rx,0,8,00,00,00,00,28,00,00,2B,
4295323094,0000011A,false,Rx,0,8,11,40,00,AA,80,00,03,BE,
4295323158,000001DB,false,Rx,0,8,FF,C0,C0,6A,00,00,03,84,
4295323221,000001DC,false,Rx,0,8,6E,04,1F,FD,08,C0,C7,C0,
4295323915,000001D4,false,Rx,0,8,F7,07,00,00,87,46,00,70,
4295324188,000001F2,false,Rx,0,8,10,64,00,00,00,1E,02,0E,
4295324405,000001DA,false,Rx,0,8,C2,64,18,00,00,01,03,2C,
4295324568,000005B9,false,Rx,0,5,40,78,51,2C,28,00,00,00,
4295329788,0000011A,false,Rx,0,8,11,40,00,AA,C0,00,00,73,
4295331552,000001DB,false,Rx,0,8,FF,C0,C0,6A,00,00,00,8E,
4295331824,000001DC,false,Rx,0,8,6E,04,1F,FD,0C,C4,C0,64,
4295334208,000001D4,false,Rx,0,8,F7,07,00,00,C7,46,00,B7,
4295334426,000001DA,false,Rx,0,8,C2,64,18,00,00,01,00,26,
4295334648,000001F2,false,Rx,0,8,10,64,00,00,00,1E,03,0F,
4295334921,00000284,false,Rx,0,8,00,00,00,00,00,00,51,D7,
4295335135,0000055A,false,Rx,0,8,00,44,41,00,5F,43,5B,08,
4295340480,0000011A,false,Rx,0,8,11,40,00,55,00,00,01,65,
4295341598,000001DB,false,Rx,0,8,FF,C0,C0,6A,00,00,01,0B,
4295341811,000001DC,false,Rx,0,8,6E,04,1F,FD,01,08,D1,84,
4295344344,000001DA,false,Rx,0,8,C2,64,18,00,00,01,01,A3,
4295344565,000001D4,false,Rx,0,8,F7,07,00,00,07,46,00,7B,
4295344838,000001F2,false,Rx,0,8,10,64,00,00,00,1E,00,0C,
4295345052,0000050C,false,Rx,0,6,00,00,00,00,5D,C8,00,00,
4295350213,0000011A,false,Rx,0,8,11,40,00,55,40,00,02,A8,
4295351567,000001DB,false,Rx,0,8,FF,C0,C0,6A,00,00,02,01,
4295351781,000001DC,false,Rx,0,8,6E,04,1F,FD,04,D8,C6,8F,
4295354321,000001DA,false,Rx,0,8,C2,64,18,00,00,01,02,A9,
4295354659,000001D4,false,Rx,0,8,F7,07,00,00,47,46,00,BC,
4295354873,000001F2,false,Rx,0,8,10,64,00,00,00,1E,01,0D,
4295355146,00000284,false,Rx,0,8,00,00,00,00,00,00,52,D8,
4295360486,0000011A,false,Rx,0,8,11,40,00,AA,80,00,03,BE,
4295361778,000001DB,false,Rx,0,8,FF,C0,C0,6A,00,00,03,84,
4295361992,000001DC,false,Rx,0,8,6E,04,1F,FD,08,C0,C7,C0,
4295362206,0000055B,false,Rx,0,8,AC,00,AA,00,E3,40,11,A9,
4295364341,000001DA,false,Rx,0,8,C2,64,18,00,00,01,03,2C,
4295364917,000001D4,false,Rx,0,8,F7,07,00,00,87,46,00,70,
4295365130,000001F2,false,Rx,0,8,10,64,00,00,00,1E,02,0E,
4295365345,0000050A,false,Rx,0,6,85,12,A0,1D,80,20,00,00,
4295367129,0000056E,false,Rx,0,1,46,00,00,00,00,00,00,00,
4295369696,0000011A,false,Rx,0,8,11,40,00,AA,C0,00,00,73,
4295371933,000001DB,false,Rx,0,8,FF,C0,C0,6A,00,00,00,8E,
4295372147,000001DC,false,Rx,0,8,6E,04,1F,FD,0C,C4,C0,64,
4295372365,000005BC,false,Rx,0,8,25,03,2A,39,91,04,1F,FF,
4295372587,000005C0,false,Rx,0,8,80,72,72,00,66,D0,00,00,
4295372860,0000054A,false,Rx,0,8,9E,00,70,06,22,00,00,3E,
4295380667,0000054B,false,Rx,0,8,00,48,88,12,0C,00,00,00,
4295380731,000001DA,false,Rx,0,8,C2,64,18,00,00,01,00,26,
4295380794,0000054C,false,Rx,0,8,8F,66,40,00,00,40,7D,00,
4295380857,000001D4,false,Rx,0,8,F7,07,00,00,C7,46,00,B7,
4295380920,000001F2,false,Rx,0,8,10,64,00,00,00,1E,03,0F,
4295380983,00000284,false,Rx,0,8,00,00,00,00,00,00,53,D9,
4295381047,0000054F,false,Rx,0,8,45,01,00,00,07,C0,88,33,
4295381110,0000011A,false,Rx,0,8,11,40,00,55,00,00,01,65,
4295381562,000001DB,false,Rx,0,8,FF,C0,C0,6A,00,00,01,0B,
4295381834,000001DC,false,Rx,0,8,6E,04,1F,FD,01,08,D1,84,
4295384312,000001DA,false,Rx,0,8,C2,64,18,00,00,01,01,A3,
4295385421,000001D4,false,Rx,0,8,F7,07,00,00,07,46,00,7B,
4295385642,000001F2,false,Rx,0,8,10,64,00,00,00,1E,00,0C,
4295385856,0000050B,false,Rx,0,6,00,00,06,C0,00,60,00,00,
4295390189,0000011A,false,Rx,0,8,11,40,00,55,40,00,02,A8,
4295391539,000001DB,false,Rx,0,8,FF,C0,C0,6A,00,00,02,01,
4295391812,000001DC,false,Rx,0,8,6E,04,1F,FD,04,D8,C6,8F,
