d
Debug= 1
Rcvd msgID: 0x404; 06; 6B; FF; FE; 00; 00; 00; 00  00:01:09.839
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:09.839
Rcvd msgID: 0x404; 06; 6B; FF; FE; 00; 00; 00; 00  00:01:10.384
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:10.384
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:11.020
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:11.020
Rcvd msgID: 0x404; 06; 6B; FF; FE; 00; 00; 00; 00  00:01:11.665
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:11.665
Rcvd msgID: 0x404; 06; 6B; FF; FE; 00; 00; 00; 00  00:01:12.207
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:12.207
Rcvd msgID: 0x404; 06; 6B; FF; FF; 00; 00; 00; 00  00:01:12.849
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:12.849
Rcvd msgID: 0x404; 06; 6B; FF; FD; 00; 00; 00; 00  00:01:13.488
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:13.488
Rcvd msgID: 0x404; 06; 6B; FF; FE; 00; 00; 00; 00  00:01:14.033
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:14.033
Rcvd msgID: 0x404; 06; 6B; FF; FE; 00; 00; 00; 00  00:01:14.680
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:14.680
Rcvd msgID: 0x404; 06; 6B; 00; 00; 00; 00; 00; 00  00:01:15.321
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:15.321
Rcvd msgID: 0x404; 06; 6B; FF; FD; 00; 00; 00; 00  00:01:15.912
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:15.912
Rcvd msgID: 0x404; 06; 6B; FF; FE; 00; 00; 00; 00  00:01:16.454
