d
Debug= 1
Rcvd msgID: 0x404; 06; 68; FF; FE; 00; 6C; 00; 00  00:10:29.555
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:29.555
Rcvd msgID: 0x404; 06; 68; FF; FF; 00; 6C; 00; 00  00:10:30.143
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:30.143
Rcvd msgID: 0x404; 06; 68; FF; FE; 00; 6C; 00; 00  00:10:30.841
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:30.841
Rcvd msgID: 0x404; 06; 68; FF; FF; 00; 6C; 00; 00  00:10:31.441
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:31.441
Rcvd msgID: 0x404; 06; 68; FF; FD; 00; 6C; 00; 00  00:10:32.033
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:32.033
Rcvd msgID: 0x404; 06; 68; FF; FE; 00; 6C; 00; 00  00:10:35.832
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:35.832
Rcvd msgID: 0x404; 06; 68; FF; FF; 00; 6C; 00; 00  00:10:36.425
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:36.425
Rcvd msgID: 0x404; 06; 68; FF; FF; 00; 6C; 00; 00  00:10:37.015
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:37.015
Rcvd msgID: 0x404; 06; 68; FF; FF; 00; 6C; 00; 00  00:10:37.711
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:37.711
Rcvd msgID: 0x404; 06; 68; FF; FF; 00; 6C; 00; 00  00:10:38.302
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:38.302
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:10:38.895
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:38.895
Rcvd msgID: 0x404; 06; 68; FF; FF; 00; 6C; 00; 00  00:10:39.590
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:39.590
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:10:40.186
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:40.186
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:10:40.878
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:40.878
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:10:41.468
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:41.468
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:10:42.064
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:42.064
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:10:42.758
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:42.758
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:10:43.344
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:10:43.344
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:10:43.945
