d
Debug= 1
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:00:43.005
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:43.005
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:43.596
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:43.596
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:44.188
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:44.188
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:44.885
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:44.885
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:00:45.478
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:45.478
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:46.069
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:46.069
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:00:46.765
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:46.765
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:00:50.396
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:50.396
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:50.985
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:50.985
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:00:51.575
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:51.575
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:52.271
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:52.271
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:52.863
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:52.863
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:53.450
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:53.450
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:54.148
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:54.148
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:00:54.741
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:54.741
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:55.433
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:55.433
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:00:56.018
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:56.018
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:56.612
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:56.612
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:57.307
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:57.307
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:00:57.898
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:57.898
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:00:58.494
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:58.494
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:00:59.184
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:59.184
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:00:59.782
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:59.782
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:00.372
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:00.372
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:01.066
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:01.066
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:01.657
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:01.657
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:02.246
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:02.246
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:02.937
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:02.937
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:03.531
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:03.531
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:04.122
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:04.122
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:04.820
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:04.820
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:05.412
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:05.412
Rcvd msgID: 0x404; 06; 6A; FF; FE; 00; 00; 00; 00  00:01:05.999
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:05.999
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:06.696
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:06.696
Rcvd msgID: 0x404; 06; 6A; FF; FF; 00; 00; 00; 00  00:01:07.294
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:07.294
