Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:28.960
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:28.960
Rcvd msgID: 0x404; 06; 6C; FF; FF; 00; 00; 00; 00  00:00:29.552
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:29.552
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:30.244
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:30.244
Rcvd msgID: 0x404; 06; 6C; FF; FF; 00; 00; 00; 00  00:00:30.834
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:30.834
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:31.434
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:31.434
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:32.123
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:32.123
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:32.711
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:32.711
Rcvd msgID: 0x404; 06; 6C; FF; FF; 00; 00; 00; 00  00:00:33.301
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:33.301
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:33.997
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:33.997
Rcvd msgID: 0x404; 06; 6C; FF; FF; 00; 00; 00; 00  00:00:34.589
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:34.589
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:35.175
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:35.175
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:35.869
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:35.869
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:36.461
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:36.461
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:37.052
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:37.052
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:37.744
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:37.744
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:41.584
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:41.584
Rcvd msgID: 0x404; 06; 6C; FF; FF; 00; 00; 00; 00  00:00:42.177
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:42.177
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:42.767
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:42.767
Rcvd msgID: 0x404; 06; 6C; FF; FE; 00; 00; 00; 00  00:00:43.450
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:43.450
Rcvd msgID: 0x404; 06; 6C; FF; FF; 00; 00; 00; 00  00:00:44.043
