d
Debug= 1
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:00:49.577
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:49.577
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:00:50.270
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:50.270
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:00:50.860
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:50.860
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:00:51.455
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:51.455
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:00:55.352
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:55.352
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:00:55.945
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:55.945
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:00:56.535
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:56.535
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:00:57.227
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:57.227
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:00:57.819
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:57.819
Rcvd msgID: 0x404; 06; 59; FF; FE; 00; 00; 00; 00  00:00:58.410
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:58.410
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:00:59.108
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:59.108
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:00:59.701
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:00:59.701
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:00.396
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:00.396
Rcvd msgID: 0x404; 06; 59; FF; FF; 00; 00; 00; 00  00:01:00.987
