l
Success...microSD file open...
Setting data logger to ON..sgteold.txt..
d
Debug= 1
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:29.209
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:29.209
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:29.857
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:29.857
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:30.498
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:30.498
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:31.138
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:31.138
Rcvd msgID: 0x404; 06; 58; FF; FD; 02; 4C; 00; 00  00:01:31.681
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:31.681
Rcvd msgID: 0x404; 06; 58; FF; FD; 02; 4C; 00; 00  00:01:32.320
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:32.320
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:32.968
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:32.968
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:36.670
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:36.670
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:37.308
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:37.308
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:37.851
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:37.851
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:38.499
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:38.499
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:39.136
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:39.136
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:39.676
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:39.676
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:40.322
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:40.322
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:40.962
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:40.962
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:41.556
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:41.556
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:42.098
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:42.098
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:42.736
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:42.736
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:43.279
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:43.279
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:43.921
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:43.921
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:44.563
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:44.563
Rcvd msgID: 0x404; 06; 58; FF; FD; 02; 4C; 00; 00  00:01:45.209
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:45.209
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:45.751
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:45.751
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:46.386
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:46.386
Rcvd msgID: 0x404; 06; 58; 00; 00; 02; 4C; 00; 00  00:01:47.032
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:47.032
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:47.575
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:47.575
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:48.215
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:48.215
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:48.858
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:48.858
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:49.399
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:49.399
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:50.046
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:50.046
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:50.686
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:50.686
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:51.224
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:51.224
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:51.870
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:51.870
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:52.509
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:52.509
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:01:53.050
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:01:53.050
Rcvd msgID: 0x404; 06; 58; FF; FF; 02; 4C; 00; 00  00:01:53.694
